case_id,p_name,p_state,p_cap_ac,p_axis,p_sys_type,ylat,xlong,eia_id
EIA_66495,Magruder Solar Community Solar,NY,5.0,single-axis,ground-mounted,41.602936,-74.1377,66495
EIA_66520,TX Sunnyvale 367 Long Creek Road Solar,TX,2.0,single-axis,ground-mounted,32.77442,-96.56668,66520
EIA_66523,NY Beaver Dams Dix 1239 Duvall Rd Solar,NY,5.0,single-axis,ground-mounted,42.294646,-76.94717,66523
EIA_66647,Elkhart County Solar Project,IN,100.0,single-axis,ground-mounted,41.498,-85.69,66647
EIA_66649,"Long Lake Solar, LLC",AR,200.0,single-axis,ground-mounted,34.468646,-90.61511,66649
EIA_66654,KDC Solar CV Central MD Regional Transit,MD,2.0,single-axis,ground-mounted,39.311,-76.978,66654
EIA_66656,KDC Solar CV O'Donnell Property LLC,MD,2.0,single-axis,ground-mounted,39.311,-76.978,66656
EIA_66670,Harquahala Sun Solar Project,AZ,150.0,single-axis,ground-mounted,33.44065,-113.1352,66670
EIA_66681,Sterlington Solar,LA,49.0,single-axis,ground-mounted,32.6926,-92.06645,66681
EIA_66688,"Bright Arrow Solar, LLC",TX,300.0,single-axis,ground-mounted,33.22392,-95.73077,66688
EIA_66739,Oak Leaf - CSG Portfolio (OL 39),CO,1.5,single-axis,ground-mounted,39.65528,-104.5285,66739
EIA_66740,Oak Leaf - CSG Portfolio (OL 44),CO,1.5,single-axis,ground-mounted,39.78308,-104.5839,66740
EIA_66756,Genesee Solar Project,MI,40.8,single-axis,ground-mounted,43.086377,-83.66512,66756
EIA_66760,Lemonweir (Oak 1),WI,3.0,single-axis,ground-mounted,43.738226,-90.01303,66760
EIA_66774,Ash Creek Solar,TX,408.9,single-axis,ground-mounted,31.900806,-97.03373,66774
EIA_66775,Morrow Lake Solar,TX,200.0,single-axis,ground-mounted,28.947973,-99.06719,66775
EIA_66827,FFP - NY Burch CSG,NY,2.5,single-axis,ground-mounted,43.32265,-73.46798,66827
EIA_66840,Egypt Road Solar,MD,51.1,single-axis,ground-mounted,38.530674,-76.10036,66840
EIA_66842,Jones Farm Solar,MD,64.0,single-axis,ground-mounted,39.232046,-75.77228,66842
EIA_66844,Spring Grove Solar 2,VA,150.0,single-axis,ground-mounted,37.16738,-76.92423,66844
EIA_66860,Marion County Solar Project,OH,100.0,single-axis,ground-mounted,40.624518,-83.13615,66860
EIA_66872,"Estonian Solar Project, LLC",TX,204.5,single-axis,ground-mounted,33.457143,-95.6679,66872
EIA_66886,Elk Street Solar,NY,2.4,single-axis,ground-mounted,42.85,-78.85,66886
EIA_66890,"SF Azalea, LLC",CA,60.0,single-axis,ground-mounted,35.767393,-119.8945,66890
EIA_66892,Conflitti Solar,CA,4.4,single-axis,ground-mounted,36.6281,-120.5708,66892
EIA_66897,"Midpoint Solar, LLC",TX,97.5,single-axis,ground-mounted,32.116002,-97.34352,66897
EIA_66899,Marlowe Solar,WV,5.8,single-axis,ground-mounted,39.589315,-77.83555,66899
EIA_66903,"BT Hickerson Solar, LLC",TX,310.0,single-axis,ground-mounted,31.819958,-97.51749,66903
EIA_66951,Scarlet II Hybrid,CA,200.0,single-axis,ground-mounted,36.60369,-120.3757,66951
EIA_66983,MDU / NVSS-II,NV,13.5,single-axis,ground-mounted,36.274825,-115.9724,66983
EIA_67007,"Cardinal Solar, LLC",PA,20.0,single-axis,ground-mounted,41.34002,-79.72372,67007
EIA_67022,CPV Backbone Solar,MD,175.0,single-axis,ground-mounted,39.442372,-79.20164,67022
EIA_67033,3715 Oxford RD,NY,3.8,single-axis,ground-mounted,43.039,-75.283,67033
EIA_67038,"Quartz Solar, LLC",AR,135.0,single-axis,ground-mounted,35.20851,-90.7912,67038
EIA_67046,Grimes County Solar,TX,210.0,single-axis,ground-mounted,30.651189,-96.09134,67046
EIA_67075,Forgeview Solar,AR,200.0,single-axis,ground-mounted,35.945918,-89.86902,67075
EIA_67076,Flat Fork Solar,AR,200.0,single-axis,ground-mounted,34.882829,-91.10409,67076
EIA_67080,"SR Clarksville II, LLC",TN,4.8,single-axis,ground-mounted,36.52119,-87.31507,67080
EIA_67086,Spano Solar - Belmar Wall,NJ,1.8,single-axis,ground-mounted,40.15,-74.05,67086
EIA_67124,"SR Blount, LLC",TN,1.5,single-axis,ground-mounted,35.76013,-84.00258,67124
EIA_67125,"SR Christiana, LLC",TN,3.3,single-axis,ground-mounted,35.700485,-86.36604,67125
EIA_67126,"SR Albany, LLC",TN,4.3,single-axis,ground-mounted,36.243794,-82.90936,67126
EIA_67129,"SR Lambert I, LLC",SC,100.0,single-axis,ground-mounted,33.332969,-79.56353,67129
EIA_67133,"SR Monroe, LLC",TN,4.8,single-axis,ground-mounted,36.44055,-85.25356,67133
EIA_67135,"SR West Marshall, LLC",MS,4.8,single-axis,ground-mounted,34.958436,-89.70122,67135
EIA_67158,"SR Marion, LLC",TN,1.3,single-axis,ground-mounted,35.39048,-85.38391,67158
EIA_67169,Bear Creek Solar (Orinda),CA,5.0,single-axis,ground-mounted,37.919197,-122.1863,67169
EIA_67174,Chihuahuan Desert Solar,TX,10.0,single-axis,ground-mounted,31.560528,-106.2586,67174
EIA_67177,Felina,TX,153.0,single-axis,ground-mounted,31.5446,-106.0376,67177
EIA_67201,DIA 9,CO,9.8,single-axis,ground-mounted,39.84666,-104.6643,67201
EIA_67204,Quail Ranch Solar and BESS,NM,100.0,single-axis,ground-mounted,35.199081,-106.8566,67204
